date,high,low,open,close,volume,adjclose,blocks-size,avg-block-size,n-transactions-per-block,n-payments-per-block,n-transactions-total,median-confirmation-time,avg-confirmation-time,total-bitcoins,market-price,market-cap,trade-volume,hash-rate,difficulty,transaction-fees,transaction-fees-usd,fees-usd-per-transaction,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-payments,transactions-per-second,output-volume,mempool-count,mempool-growth,mempool-size,utxo-count,n-transactions-excluding-popular,estimated-transaction-volume,estimated-transaction-volume-usd
2018-11-15,5774.81982421875,5358.3798828125,5736.14990234375,5648.02978515625,7032140000.0,5648.02978515625,,,,3695.8267716535433,,12.7166666666667,87.7771081827938,,5756.77,95222682506.25,1068777739.766,,7184404942702.0,,,,,,,,469370.0,3.2,1892836.65725486,19600.5,1160.93333333333,12981913.5,,277284.0,,
2018-11-16,5657.02001953125,5498.93994140625,5645.31982421875,5575.5498046875,5279320000.0,5575.5498046875,,,,3790.515873015873,,,,,,,,47244348.93210407,,,,,0.823165581278261,,533315.0,,477605.0,,,2489.5,,1231474.5,,,195693.85675478,1082196428.0914
2018-11-17,5578.580078125,5519.56005859375,5578.580078125,5554.330078125,4303150000.0,5554.330078125,191903.684286,0.914248868965516,1811.3724137931,2786.993103448276,357423738.0,,,,,,,,,21.55099415,120442.478506185,0.444924801373405,,38.1910201531057,,262649.0,404114.0,2.95,,,1150.7,,,,,
2018-11-18,5653.60986328125,5559.740234375,5559.740234375,5623.5400390625,4159680000.0,5623.5400390625,,,,3024.7479674796746,,10.1666666666667,23.735223516535,,5572.44,,187745032.4724,,6653303141406.0,,,,,,,,372044.0,3.35,580343.13343274,1785.0,1507.51666666667,799175.0,,233918.0,,
2018-11-19,5620.77978515625,4842.91015625,5620.77978515625,4871.490234375,7039560000.0,4871.490234375,,,,3401.7301587301586,,,,,,92134140000.0,,45715818.24939446,,,,,0.828227892824964,,470247.0,,428618.0,4.05,,29629.5,1511.15,18247174.0,,,199215.20378453,1021796905.51698
2018-11-20,4951.60986328125,4272.10986328125,4863.93017578125,4451.8701171875,8428290000.0,4451.8701171875,192292.51236,1.2037403030303,2185.22727272727,3630.6969696969695,358195175.0,,,,,,,,,69.36765011,319205.96282372,1.08676958608103,,26.9765583402298,,288450.0,479252.0,,,23777.0,,22747932.5,,,,
2018-11-21,4675.72998046875,4343.97998046875,4465.5400390625,4602.169921875,6120120000.0,4602.169921875,,,,3976.1238095238095,,15.4166666666667,139.103106141194,,4491.98,,1455657697.6194,,6653303141406.0,,,,,,,,417493.0,2.15,1309378.21656164,,769.566666666667,,,242752.0,,
2018-11-22,4629.64013671875,4365.64013671875,4611.56982421875,4365.93994140625,4569370000.0,4365.93994140625,,,,3479.0409836065573,,,,,,,,42714092.64834462,,,,,1.05668275831114,,467175.0,,424443.0,2.5,,3431.0,1162.13333333333,7696803.0,,,147946.46205614,662090854.575515
2018-11-23,4396.419921875,4195.68017578125,4360.7001953125,4347.10986328125,4871490000.0,4347.10986328125,192727.233576,1.131096584,2202.088,3656.368,359003417.0,,,,,75027429200.0,,,,36.98433712,158280.31328676,0.572140256091756,,24.9421609684823,,275261.0,457046.0,4.01666666666667,,9900.0,1696.98333333333,7573948.5,,,,
2018-11-24,4413.08984375,3795.159912109375,4347.68994140625,3880.760009765625,4679500000.0,3880.760009765625,,,,2733.7342657342656,,8.2,19.5828971537397,,4352.98,,489895164.5904,,6653303141406.0,,,,,,,,390924.0,,905769.291971645,6463.0,,3060442.5,,242809.0,,
